CVE ID,Item,Asset Name,Asset ID,Class Type,Ipv4,Ipv6,Mac,Vendor,Os,Model,Firmware,Serial Number,Num Alerts,Insight Names
CVE-2010-5305,1,UNTITLED,231,OT,10.1.30.3,,F4:54:33:92:89:96,Rockwell Automation,,1747-L553/C C/13 - DC 3.54 ,V3.013,,,
CVE-2012-6435,1,10.1.30.6,239,OT,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,,,
CVE-2012-6435,2,Chemical_plant_xx,30,OT,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,,,
CVE-2012-6436,1,10.1.30.6,239,OT,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,,,
CVE-2012-6436,2,Chemical_plant_xx,30,OT,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,,,
CVE-2012-6437,1,10.1.30.6,239,OT,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,,,
CVE-2012-6437,2,Chemical_plant_xx,30,OT,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,,,
CVE-2012-6438,1,10.1.30.6,239,OT,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,,,
CVE-2012-6439,1,10.1.30.6,239,OT,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,,,
CVE-2012-6439,2,Chemical_plant_xx,30,OT,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,,,
CVE-2012-6440,1,10.1.30.6,239,OT,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,,,
CVE-2012-6440,2,Chemical_plant_xx,30,OT,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,,,
CVE-2012-6441,1,10.1.30.6,239,OT,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,,,
CVE-2012-6442,1,10.1.30.6,239,OT,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,,,
CVE-2012-6442,2,Chemical_plant_xx,30,OT,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,,,
CVE-2015-6486,1,10.1.30.6,239,OT,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,,,
