Assets Per CVE - Aggregated Output
source_cve_id,Item,id,class_type,name,ipv4,ipv6,mac,vendor,os,model,firmware,serial_number,num_alerts,insight_names
CVE-2024-21916,1,30,OT,Chemical_plant,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,00987DBF,3,"Data Acquisition Write (Operated PLCs), End Of Life Assets, Full Match CVEs, Managed PLCs (by Rockwell users), Privileged Operations (Operated PLCs), Talking with Ghost Assets, Top Risky Assets"
CVE-2012-6441,1,239,OT,10.1.30.6,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,9CA1604E,0,"End Of Life Assets, Full Match CVEs"
CVE-2022-1797,1,30,OT,Chemical_plant,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,00987DBF,3,"Data Acquisition Write (Operated PLCs), End Of Life Assets, Full Match CVEs, Managed PLCs (by Rockwell users), Privileged Operations (Operated PLCs), Talking with Ghost Assets, Top Risky Assets"
CVE-2022-1161,1,30,OT,Chemical_plant,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,00987DBF,3,"Data Acquisition Write (Operated PLCs), End Of Life Assets, Full Match CVEs, Managed PLCs (by Rockwell users), Privileged Operations (Operated PLCs), Talking with Ghost Assets, Top Risky Assets"
CVE-2020-6990,1,239,OT,10.1.30.6,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,9CA1604E,0,"End Of Life Assets, Full Match CVEs"
CVE-2012-6435,1,30,OT,Chemical_plant,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,00987DBF,3,"Data Acquisition Write (Operated PLCs), End Of Life Assets, Full Match CVEs, Managed PLCs (by Rockwell users), Privileged Operations (Operated PLCs), Talking with Ghost Assets, Top Risky Assets"
CVE-2012-6435,2,239,OT,10.1.30.6,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,9CA1604E,0,"End Of Life Assets, Full Match CVEs"
CVE-2019-12258,1,30,OT,Chemical_plant,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,00987DBF,3,"Data Acquisition Write (Operated PLCs), End Of Life Assets, Full Match CVEs, Managed PLCs (by Rockwell users), Privileged Operations (Operated PLCs), Talking with Ghost Assets, Top Risky Assets"
CVE-2017-14470,1,239,OT,10.1.30.6,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,9CA1604E,0,"End Of Life Assets, Full Match CVEs"
CVE-2019-12263,1,30,OT,Chemical_plant,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,00987DBF,3,"Data Acquisition Write (Operated PLCs), End Of Life Assets, Full Match CVEs, Managed PLCs (by Rockwell users), Privileged Operations (Operated PLCs), Talking with Ghost Assets, Top Risky Assets"
CVE-2020-6988,1,239,OT,10.1.30.6,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,9CA1604E,0,"End Of Life Assets, Full Match CVEs"
RA-58964,1,30,OT,Chemical_plant,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,00987DBF,3,"Data Acquisition Write (Operated PLCs), End Of Life Assets, Full Match CVEs, Managed PLCs (by Rockwell users), Privileged Operations (Operated PLCs), Talking with Ghost Assets, Top Risky Assets"
CVE-2021-33012,1,239,OT,10.1.30.6,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,9CA1604E,0,"End Of Life Assets, Full Match CVEs"
CVE-2020-6980,1,239,OT,10.1.30.6,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,9CA1604E,0,"End Of Life Assets, Full Match CVEs"
CVE-2010-5305,1,231,OT,UNTITLED,10.1.30.3,,F4:54:33:92:89:96,Rockwell Automation,,1747-L553/C C/13 - DC 3.54 ,V3.013,33928996,0,"End Of Life Assets, Full Match CVEs, Open Ports, Top Risky Assets"
CVE-2017-7903,1,239,OT,10.1.30.6,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,9CA1604E,0,"End Of Life Assets, Full Match CVEs"
CVE-2017-14471,1,239,OT,10.1.30.6,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,9CA1604E,0,"End Of Life Assets, Full Match CVEs"
CVE-2017-12089,1,239,OT,10.1.30.6,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,9CA1604E,0,"End Of Life Assets, Full Match CVEs"
CVE-2016-20009,1,30,OT,Chemical_plant,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,00987DBF,3,"Data Acquisition Write (Operated PLCs), End Of Life Assets, Full Match CVEs, Managed PLCs (by Rockwell users), Privileged Operations (Operated PLCs), Talking with Ghost Assets, Top Risky Assets"
CVE-2023-2262,1,30,OT,Chemical_plant,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,00987DBF,3,"Data Acquisition Write (Operated PLCs), End Of Life Assets, Full Match CVEs, Managed PLCs (by Rockwell users), Privileged Operations (Operated PLCs), Talking with Ghost Assets, Top Risky Assets"
CVE-2020-6088,1,236,OT,10.1.30.4,10.1.30.4,,E4:90:69:A7:70:0F,Rockwell Automation,,1794-AENT/B,V4.003,6065A6A4,0,"End Of Life Assets, Full Match CVEs"
CVE-2020-6085,1,236,OT,10.1.30.4,10.1.30.4,,E4:90:69:A7:70:0F,Rockwell Automation,,1794-AENT/B,V4.003,6065A6A4,0,"End Of Life Assets, Full Match CVEs"
CVE-2012-6440,1,30,OT,Chemical_plant,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,00987DBF,3,"Data Acquisition Write (Operated PLCs), End Of Life Assets, Full Match CVEs, Managed PLCs (by Rockwell users), Privileged Operations (Operated PLCs), Talking with Ghost Assets, Top Risky Assets"
CVE-2012-6440,2,239,OT,10.1.30.6,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,9CA1604E,0,"End Of Life Assets, Full Match CVEs"
ICSA-15-225-02A,1,239,OT,10.1.30.6,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,9CA1604E,0,"End Of Life Assets, Full Match CVEs"
CVE-2016-2279,1,30,OT,Chemical_plant,10.1.30.1,,00:1D:9C:C0:04:9D,Rockwell Automation,,1756-ENBT/A,V6.006,00987DBF,3,"Data Acquisition Write (Operated PLCs), End Of Life Assets, Full Match CVEs, Managed PLCs (by Rockwell users), Privileged Operations (Operated PLCs), Talking with Ghost Assets, Top Risky Assets"
CVE-2017-12093,1,239,OT,10.1.30.6,10.1.30.6,,00:1D:9C:A1:60:4E,Rockwell Automation,,1763-L16BWA B/14.00,V2.014,9CA1604E,0,"End Of Life Assets, Full Match CVEs"
