cve_id,confirmed_assets_count
CVE-2024-21916,1
CVE-2012-6441,1
CVE-2022-1797,1
CVE-2022-1161,1
CVE-2020-6990,1
CVE-2012-6435,2
CVE-2019-12258,1
CVE-2017-14470,1
CVE-2019-12263,1
CVE-2020-6988,1
RA-58964,1
CVE-2021-33012,1
CVE-2020-6980,1
CVE-2010-5305,1
CVE-2017-7903,1
CVE-2017-14471,1
CVE-2017-12089,1
CVE-2016-20009,1
CVE-2023-2262,1
CVE-2020-6088,1
CVE-2020-6085,1
CVE-2012-6440,2
ICSA-15-225-02A,1
CVE-2016-2279,1
CVE-2017-12093,1
RA-511407-2,1
CVE-2017-14467,1
CVE-2019-5096,1
CVE-2021-22681,2
CVE-2012-6437,2
CVE-2017-7901,1
CVE-2012-6442,2
CVE-2019-12257,1
RA-65980,1
CVE-2022-3157,1
CVE-2017-12088,1
CVE-2019-12255,1
CVE-2017-14466,1
CVE-2019-5097,1
CVE-2019-12262,1
CVE-2012-4703,1
CVE-2017-14463,1
RA-66678,1
CVE-2015-6492,1
CVE-2019-12264,1
CVE-2017-7898,1
CVE-2012-6438,1
CVE-2017-7899,1
CVE-2017-12092,1
CVE-2017-14464,1
CVE-2020-6084,1
CVE-2017-14465,1
CVE-2016-9343,1
CVE-2020-6984,1
RA-65982,1
CVE-2018-17924,1
CVE-2017-7924,1
CVE-2017-14473,1
CVE-2020-6086,1
CVE-2020-6083,1
CVE-2024-6242,1
CVE-2015-6486,1
CVE-2019-10955,1
CVE-2012-6439,2
CVE-2020-6998,1
CVE-2019-12265,1
CVE-2012-6436,2
CVE-2023-3595,1
CVE-2017-14468,1
CVE-2015-6488,1
CVE-2019-12261,1
CVE-2020-6087,1
CVE-2015-6491,1
CVE-2019-12256,1
CVE-2016-0868,1
CVE-2017-14462,1
CVE-2017-7902,1
CVE-2015-6490,1
CVE-2017-14472,1
CVE-2026-41096,1
CVE-2026-33622,1
CVE-2025-7353,1
