asset_id,asset_name,asset_ip,cve_id
30,Chemical_plant_xx,10.1.30.1,CVE-2022-1797
30,Chemical_plant_xx,10.1.30.1,CVE-2016-9343
30,Chemical_plant_xx,10.1.30.1,CVE-2020-6998
30,Chemical_plant_xx,10.1.30.1,CVE-2021-22681
30,Chemical_plant_xx,10.1.30.1,CVE-2022-1161
30,Chemical_plant_xx,10.1.30.1,CVE-2022-3157
30,Chemical_plant_xx,10.1.30.1,CVE-2024-21916
30,Chemical_plant_xx,10.1.30.1,CVE-2019-12265
30,Chemical_plant_xx,10.1.30.1,CVE-2019-12255
30,Chemical_plant_xx,10.1.30.1,CVE-2019-12258
30,Chemical_plant_xx,10.1.30.1,CVE-2019-5096
30,Chemical_plant_xx,10.1.30.1,CVE-2019-5097
30,Chemical_plant_xx,10.1.30.1,CVE-2018-17924
30,Chemical_plant_xx,10.1.30.1,CVE-2016-20009
30,Chemical_plant_xx,10.1.30.1,CVE-2019-12257
30,Chemical_plant_xx,10.1.30.1,CVE-2019-12262
30,Chemical_plant_xx,10.1.30.1,CVE-2019-12261
30,Chemical_plant_xx,10.1.30.1,CVE-2019-12264
30,Chemical_plant_xx,10.1.30.1,CVE-2019-12263
30,Chemical_plant_xx,10.1.30.1,CVE-2024-6242
30,Chemical_plant_xx,10.1.30.1,CVE-2012-6436
30,Chemical_plant_xx,10.1.30.1,RA-58964
30,Chemical_plant_xx,10.1.30.1,CVE-2012-6435
30,Chemical_plant_xx,10.1.30.1,CVE-2019-12256
30,Chemical_plant_xx,10.1.30.1,CVE-2023-2262
30,Chemical_plant_xx,10.1.30.1,CVE-2012-6437
30,Chemical_plant_xx,10.1.30.1,CVE-2012-6442
30,Chemical_plant_xx,10.1.30.1,CVE-2016-2279
30,Chemical_plant_xx,10.1.30.1,CVE-2012-6440
30,Chemical_plant_xx,10.1.30.1,CVE-2023-3595
30,Chemical_plant_xx,10.1.30.1,CVE-2012-6439
30,Chemical_plant_xx,10.1.30.1,CVE-2025-7353
231,UNTITLED,10.1.30.3,CVE-2010-5305
231,UNTITLED,10.1.30.3,RA-511407-2
231,UNTITLED,10.1.30.3,RA-66678
237,10.1.30.4,10.1.30.4,CVE-2020-6085
237,10.1.30.4,10.1.30.4,CVE-2020-6083
237,10.1.30.4,10.1.30.4,CVE-2020-6087
237,10.1.30.4,10.1.30.4,CVE-2020-6084
237,10.1.30.4,10.1.30.4,CVE-2020-6088
237,10.1.30.4,10.1.30.4,CVE-2020-6086
239,10.1.30.6,10.1.30.6,CVE-2017-12092
239,10.1.30.6,10.1.30.6,CVE-2017-14471
239,10.1.30.6,10.1.30.6,CVE-2017-14464
239,10.1.30.6,10.1.30.6,CVE-2015-6490
239,10.1.30.6,10.1.30.6,CVE-2012-6440
239,10.1.30.6,10.1.30.6,CVE-2017-14473
239,10.1.30.6,10.1.30.6,CVE-2017-7903
239,10.1.30.6,10.1.30.6,CVE-2017-7901
239,10.1.30.6,10.1.30.6,CVE-2017-14472
239,10.1.30.6,10.1.30.6,CVE-2015-6492
239,10.1.30.6,10.1.30.6,ICSA-15-225-02A
