id,name,ipv4,ipv6,mac,os,model,vendor,firmware
1,SELF-82BA6006FE,10.1.30.12,None,00:50:56:8D:8F:F4,Windows XP,None,VMware,None
8,10.1.0.158,10.1.0.158,None,00:40:9D:23:24:43,None,None,Digiboard,None
13,28:63:36:38:FE:9D,None,None,28:63:36:38:FE:9D,None,None,Siemens,None
14,28:63:36:09:42:23,None,None,28:63:36:09:42:23,None,None,Siemens,None
16,00:03:BA:45:08:74,None,None,00:03:BA:45:08:74,None,None,Oracle,None
24,10.1.0.251,10.1.0.251,None,"00:16:47:49:8F:42, 00:23:AC:73:33:42",None,None,Cisco,None
27,00:12:01:09:ED:80,None,None,"00:12:01:09:ED:80, 00:12:01:09:ED:87",None,None,Cisco,None
28,10.1.48.4,10.1.48.4,None,00:09:91:03:BB:94,None,None,GE Fanuc Automation,None
29,10.1.48.1,10.1.48.1,None,00:09:91:05:03:9B,None,None,GE Fanuc Automation,None
30,Chemical_plant_xx,10.1.30.1,None,00:1D:9C:C0:04:9D,None,1756-ENBT/A,Rockwell Automation,V6.006
34,00:00:23:1F:9E:4E,None,None,00:00:23:1F:9E:4E,None,None,ABB,None
35,10.1.39.2,10.1.39.2,None,08:00:70:44:FA:AA,None,None,Mitsubishi,None
40,10.1.7.99,10.1.7.99,None,"00:40:84:0E:1F:D9, 00:40:84:0E:1F:DA",None,None,Honeywell,None
44,10.1.34.12,10.1.34.12,None,00:A0:45:07:0B:4C,None,None,Phoenix Contact,None
52,VNET 01/63,"192.168.1.126, 192.168.129.126",None,"00:00:64:95:C6:B4, 00:00:64:95:C6:B5",None,None,Yokogawa,None
55,ENGSTATION,"10.1.0.100, 10.1.34.8",None,00:50:56:B9:A1:F4,Windows Server 2008 R2,None,VMware,None
63,00:40:84:0D:AF:D0,None,None,00:40:84:0D:AF:D0,None,Honeywell CF9,Honeywell,"Micro Revision: 61.0, FPGA Revision: 21.0, Hardware Revision: 3.0"
65,800ENGNODE,"10.1.33.4, 172.16.0.197",None,00:50:56:B9:58:4F,Windows Server 2008 R2,None,VMware,None
67,10.1.34.11,10.1.34.11,None,00:0D:E0:80:2C:62,None,None,ICP DAS,None
68,10.1.34.11:Unit ID 1,None,None,None,None,None,None,None
69,10.1.34.10,10.1.34.10,None,00:0D:E0:80:2C:61,None,None,ICP DAS,None
72,vxTarget,None,None,00:60:65:30:01:A7,None,None,B&R Industrial Automation,None
89,fe80::250:56ff:fe8d:aba3,None,fe80::250:56ff:fe8d:aba3,00:50:56:8D:AB:A3,None,None,VMware,None
91,10.4.0.14,10.4.0.14,None,00:80:74:00:CC:26,None,None,Emerson,None
92,DELTAV_C,10.4.0.34,None,00:50:56:8D:F3:33,Windows XP,None,VMware,None
93,10.8.0.14,10.8.0.14,None,00:80:74:00:CC:27,None,None,Emerson,None
94,DELTAV_C,10.8.0.34,None,00:50:56:8D:50:15,Windows XP,None,VMware,None
