program,vendor,version,in_CTD
7-Zip 25.00 (x64),Igor Pavlov,25.00,yes
Adobe Acrobat (64-bit),Adobe,26.001.21563,yes
Adobe Refresh Manager,Adobe,1.8.0,no
AMD Software,Advanced Micro Devices,23.19.23.03,no
Application Verifier x64 External Package,Microsoft,10.1.19041.685,no
ARC125 for Uniden (U)BC125XLT,BuTel Software,0.08.0038,no
AXIS Device Manager 5.30,Axis Communications AB,5.30.125,yes
BC75XLT_SS,Uniden,1.1.0,no
BCDx36HP Sentinel,Uniden,2.05.03,no
Bonjour Browser,,,no
Brave,Brave Software,148.1.90.122,no
Camera Configuration Tool,Motorola,2.14.0.0,no
Cisco Packet Tracer 8.2.2 64Bit,Cisco,8.2.2.400,yes
Cisco Webex Meetings,Cisco,44.7.0,yes
Copilot,Microsoft,148.0.3967.54,no
DirectSOFT 6 - Programming,Host Engineering,6.00.700,no
Do-more Designer 2.11,Host Engineering,2.11.002,no
Epson Connect Printer Setup,Seiko Epson,1.4.11,no
EPSON ET-2800 Series Printer Uninstall,Seiko Epson,,no
Epson ET-2800 Series User’s Guide,Epson America,1.0,no
Epson Event Manager,Seiko Epson,3.11.82,no
EpsonNet Print,Seiko Epson,3.3.1.0,no
Epson Photo+,Seiko Epson,4.0.2.0,no
Epson Printer Connection Checker,Seiko Epson,3.4.3.0,no
Epson Printer Driver Security Support Tool,Seiko Epson,1.0.1.0,no
Epson Scan 2,Seiko Epson,,no
EPSON Scan OCR Component,Seiko Epson,3.00.06,no
EPSON Scan PDF Extensions,Seiko Epson,1.03.02.02,no
Epson ScanSmart,Seiko Epson,3.7.17,no
Epson Software Updater,Seiko Epson,5.0.2,no
Evernote 10.95.4 (All Users),Evernote,10.95.4,no
Evernote 11.16.3,Bending Spoons US,11.16.3,no
Factory I/O,Real Games,2.5.8,no
FastStone Image Viewer 8.1,FastStone,8.1,no
Foxit PDF Reader,Foxit Software,2025.2.0.33046,no
Google Chrome,Google,148.0.7778.168,yes
G_Series_PPS_V00-03-16-29F,Unication,0.3.16.29,no
