vendor, program
2N,Access Commander
3S Smart Software Solutions,CODESYS
7-zip,7-Zip
7-zip,7-zip
ABB,800xA
ABB,800xA History
ABB,800xA System
ABB,800xA for AC 870P Melody
ABB,800xA for Symphony Plus Harmony
ABB,800xa
ABB,ABB 800xA Base
ABB,ABB Base Software
ABB,ABB Base Software for SoftControl
ABB,ABB Protection and Control IED Manager PCM600
ABB,ABB RobotWare
ABB,ABB S+ Engineering Composer Harmony
ABB,ABB S+ Engineering Harmony API Runtime
ABB,AO-OPC
ABB,ASP-ENT-
ABB,ASPECT
ABB,Ability Camera Connect
ABB,Ability Edgenius
ABB,Application Change Management
ABB,Aspect Enterprise
ABB,Asset Suite
ABB,Automation Builder
ABB,Automation Builder Platform
ABB,Automation Runtime
ABB,Automation Studio
ABB,Base Software
ABB,Base Software for SoftControl
ABB,Batch Management
ABB,CODESYS OPC DA Server
ABB,Cassia Access Controller
ABB,Compact Product Suite
ABB,Composer Harmony
ABB,Composer Melody
ABB,Device Library Wizard
ABB,Drive Composer
ABB,Drive Composer entry
ABB,Drive Composer pro
ABB,Ellipse EAM
ABB,M professional
ABB,MConfig
ABB,Marine ITMonitoring
ABB,Matrix
ABB,Mint WorkBench
ABB,Mint Workbench I
ABB,My Control System
ABB,Nexus
ABB,OPC Server
ABB,OPTIMAX
ABB,PCM600
ABB,Plant Connect
ABB,Platform Engineering Tools
ABB,Power Generation Information Manager
ABB,Production Response Batch History
ABB,RCCMD
ABB,RobotWare
ABB,S+ Historian
ABB,S+ Operation
ABB,S+ Operations
ABB,Safe
ABB,Symphony Plus
ABB,Symphony Plus S+ Operations
ABB,System Access Point (ABB)
ABB,System Access Point (BJE)
ABB,System Access Point 127V (ABB)
ABB,System Access Point 2.0 (ABB)
ABB,System Access Point 2.0 (BJE)
ABB,System Access Point 2.0 US
ABB,Terra AC wallbox
ABB,Terra AC wallbox (JP)
ABB,WL-System Access Point (ABB)
ABB,WL-System Access Point 127V (ABB)
ABB,Zenon
ABB,e-Design
ABB,eSOMS
AMI,MegaRAC-SP
APC,PowerChute
APC,PowerChute Business Edition
APC,PowerChute Network Shutdown
APC,apcupsd
APSystems,Altenergy Power Control
AVEVA,AVEVA Application Server
AVEVA,AVEVA Batch Management
AVEVA,AVEVA Batch Management 2000
AVEVA,AVEVA Batch Management 2020
AVEVA,AVEVA Communication Drivers Pack
AVEVA,AVEVA Communication Drivers Pack 2000
AVEVA,AVEVA Enterprise Data Management 2021
AVEVA,AVEVA Historian
AVEVA,AVEVA HistorianClient 2014
AVEVA,AVEVA InTouch 2014
AVEVA,AVEVA Ioperations Intergration Core
AVEVA,AVEVA MES 2000
AVEVA,AVEVA Manufacturing Execution System 2020
AVEVA,AVEVA Mobile Operator 2020
AVEVA,AVEVA System Platform
AVEVA,AVEVA Work Tasks 2020
AVEVA,AVEVA Work Tasks 2020 Update 1
AVEVA,Application Server
AVEVA,Batch Management
AVEVA,Batch Management 2020
AVEVA,Communication Drivers Pack
AVEVA,Communication Drivers Pack 2020
AVEVA,Data Acquisition Servers
AVEVA,Edge
AVEVA,Enterprise Data Management Web
AVEVA,Enterprise Licensing
AVEVA,Historian
AVEVA,Historian 2020
AVEVA,InTouch
AVEVA,InTouch 2017 U3 SP1 P01
AVEVA,InTouch 2020
AVEVA,InTouch 2020 R2
AVEVA,MES 2014 R2
AVEVA,Manufacturing Execution System
AVEVA,Mobile Operator
AVEVA,Operations Integration Core
AVEVA,PCS
AVEVA,PI AF
AVEVA,PI AF 2018
AVEVA,PI AF 2023
AVEVA,PI Asset Framework 2018
AVEVA,PI Asset Framework 2023
AVEVA,PI Asset Framework Client
AVEVA,PI Connector for CygNet
AVEVA,PI Data Archive 2018
AVEVA,PI Data Archive 2018 SP3 Patch 1
AVEVA,PI Data Archive 2018 SP3 Patch 2
AVEVA,PI Data Archive 2018 SP3 Patch 3
AVEVA,PI Data Archive 2018 SP3 Patch 4
AVEVA,PI Data Archive 2018 SP3 Patch 7
AVEVA,PI Data Archive 2023
AVEVA,PI Data Archive 2023 Patch 1
AVEVA,PI Data Archive 2024
AVEVA,PI Integrator for Business Analytics
AVEVA,PI Server
AVEVA,PI Server 2018 SP3
AVEVA,PI Server 2018 SP3 Patch 1
AVEVA,PI Server 2018 SP3 Patch 2
AVEVA,PI Server 2018 SP3 Patch 3
AVEVA,PI Server 2018 SP3 Patch 4
AVEVA,PI Server 2018 SP3 Patch 5
AVEVA,PI Server 2018 SP3 Patch 6
AVEVA,PI Server 2023
AVEVA,PI Server 2023 Patch 1
AVEVA,PI Web API
AVEVA,PI Web API 2023
AVEVA,PI to CONNECT Agent
AVEVA,Pipeline Simulation
AVEVA,Process Optimization 2020
AVEVA,Process Optimization 2021
AVEVA,Process Optimization 2022
AVEVA,Process Optimization 2023
AVEVA,Process Optimization 2024
AVEVA,Recipe Management
AVEVA,System Platform 2014
AVEVA,System Platform 2017
AVEVA,System Platform 2017 U3 SP1 P01
AVEVA,System Platform 2020
AVEVA,System Platform 2020 R2
AVEVA,System Platform 2020 R2 P01
AVEVA,SystemPlatform
AVEVA,Telemetry Server
AVEVA,Worktasks
AVEVA,aveva application server 2023
AVEVA,aveva application server 2023 r1
AVEVA,aveva application server 2023 r1 sp1
AVEVA,aveva application server 2023 r1 sp1 p01
AVEVA,aveva application server 2023 r1 sp1 p02
AVEVA,aveva application server 2023 r2
AVEVA,aveva application server 2023 r2 sp1
AVEVA,aveva application server 2023 r2 sp1 p01
AVEVA,aveva application server 2023 r2 sp1 p02
Abbott,TSM
Abbott,TWM
Abbott,Track Sample Manager
Abbott,Track Workflow Manager
Acronis,Acronis Cyber Infrastructure
Adminer,Adminer
Adobe,Acrobat
Adobe,Acrobat DC
Adobe,Acrobat Reader
Adobe,Acrobat Reader DC
Adobe,Adobe Animate
Adobe,Adobe ColdFusion
Adobe,Adobe Commerce
Adobe,Adobe Commerce B2B
Adobe,Adobe Flash Player
Adobe,Adobe Media Encoder
Adobe,ColdFusion
Adobe,Experience Manager
Adobe,Flash Player
Adobe,Magento Open Source
Advantech,DeviceOn/iEdge
Advantech,IoT Edge Linux
Advantech,IoT Edge Windows
Advantech,IoTSuite Growth
Advantech,IoTSuite SaaSCompose
Advantech,IoTSuite Starter
Advantech,WebAccess/SCADA
Advantech,iView
Advantive,Veracore
Aiphone,IX SupportTool
Aiphone,IXG SupportTool
AnyDesk Software,AnyDesk
Apache Software Foundation,ActiveMQ
Apache Software Foundation,Apache HTTP Server
Apache Software Foundation,Apache Tomcat
Apache Software Foundation,Flink
Apache Software Foundation,HTTP Server
Apache Software Foundation,HugeGraph-Server
Apache Software Foundation,OFBiz
Apache Software Foundation,Struts
Apache Software Foundation,Superset
Apache Software Foundation,Tomcat
Apache Software Foundation,commons configuration
Apache Software Foundation,commons text
Apache Software Foundation,rocketmq
Apex,Environet
Apple,Safari
Apple,iOS
Apple,iPadOS
Apple,ipad
Apple,iphone
Apple,safari
Aquasecurity,Trivy
Aquasecurity,setup-trivy
Aquasecurity,trivy-action
Arm,Mali GPU Kernel Driver
Array Networks,ArrayOS AG
Ashlar Vellum,Argon
Ashlar Vellum,Cobalt
Ashlar Vellum,Cobalt Share
Ashlar Vellum,Graphite
Ashlar Vellum,Lithium
Ashlar Vellum,Xenon
Asseco Poland S.A.,mMedica
Asus,Live Update
Atlas Copco,Error Proofing License Manager
Atlas Copco,QASupervisor
Atlas Copco,SQS3 License Manager
Atlassian,Bamboo Data Center
Atlassian,Confluence
Atlassian,Confluence Data Center
Atlassian,Confluence Server
Atlassian,Jira Data Center
Atlassian,Jira Server
Audinate,Dante
Autodesk,AutoCAD
Autodesk,AutoCAD Architecture
Autodesk,AutoCAD Electrical
Autodesk,AutoCAD GENESIS64
Autodesk,AutoCAD LT
Autodesk,AutoCAD LT for Mac
Autodesk,AutoCAD MC Works64
Autodesk,AutoCAD MEP
Autodesk,AutoCAD Map 3D
Autodesk,AutoCAD Mechanical
Autodesk,AutoCAD Plant 3D
Autodesk,AutoCAD for Mac
Autodesk,Autodesk Advance Steel
Autodesk,Autodesk Civil 3D
Automated Logic,SiteScan Web
Automated Logic,WebCTRL
Automated Logic,WebCTRL Server
Automated Logic,WebCTRL for OEMs
AutomatedLogic,SiteScan Web
AutomatedLogic,WebCTRL
AutomatedLogic,WebCTRL Server
AutomatedLogic,WebCTRL for OEMs
Automation Direct,Productivity Suite
Automation Direct,c-more ea9 programing software
Axis Communications AB,AXIS Camera Station
Axis Communications AB,AXIS Camera Station 5
Axis Communications AB,AXIS Camera Station Pro
Axis Communications AB,AXIS Device Manager
Axis Communications AB,AXIS License Plate Verifier
Axis Communications AB,AXIS Media Control Embedded Installer
Axis Communications AB,AXIS Optimizer
Axis Communications AB,Camera Control
Axis Communications AB,License Plate Verifier
Axis Communications,AXIS Camera Station
Axis Communications,AXIS Camera Station 5
Axis Communications,AXIS Camera Station Pro
Axis Communications,AXIS Device Manager
Axis Communications,AXIS License Plate Verifier
