program,vendor,version,cleaned name,cpe_name
7-Zip 25.00 (x64),Igor Pavlov,25.00,7-Zip,cpe:2.3:a:7-zip:7-zip:*:*:*:*:*:*:*:*
Adobe Acrobat (64-bit),Adobe,26.001.21563,Adobe Acrobat,cpe:2.3:a:adobe:acrobat:*:*:*:*:*:*:*:*
Adobe Refresh Manager,Adobe,1.8.0,Adobe Refresh Manager,NOT_FOUND
AMD Software,Advanced Micro Devices,23.19.23.03,AMD Software,cpe:2.3:a:amd:vbios_flash_tool_software_development_kit:*:*:*:*:*:*:*:*
Application Verifier x64 External Package,Microsoft,10.1.19041.685,Application Verifier External Package,NOT_FOUND
ARC125 for Uniden (U)BC125XLT,BuTel Software,0.08.0038,ARC125 Uniden (U)BC125XLT,NOT_FOUND
AXIS Device Manager 5.30,Axis Communications AB,5.30.125,AXIS Device Manager,cpe:2.3:a:axis:device_manager:*:*:*:*:*:*:*:*
BC75XLT_SS,Uniden,1.1.0,BC75XLT_SS,NOT_FOUND
BCDx36HP Sentinel,Uniden,2.05.03,BCDx36HP Sentinel,NOT_FOUND
Bonjour Browser,,,Bonjour Browser,NOT_FOUND
Brave,Brave Software,148.1.90.122,Brave,cpe:2.3:a:brave:brave:*:*:*:*:*:*:*:*
Camera Configuration Tool,Motorola,2.14.0.0,Camera Configuration Tool,NOT_FOUND
Cisco Packet Tracer 8.2.2 64Bit,Cisco,8.2.2.400,Cisco Packet Tracer,cpe:2.3:a:cisco:packet_tracer:*:*:*:*:*:*:*:*
Cisco Webex Meetings,Cisco,44.7.0,Cisco Webex Meetings,cpe:2.3:a:cisco:webex_meetings:*:*:*:*:*:*:*:*
Copilot,Microsoft,148.0.3967.54,Copilot,cpe:2.3:a:microsoft:365_copilot:*:*:*:*:*:*:*:*
DirectSOFT 6 - Programming,Host Engineering,6.00.700,DirectSOFT 6,NOT_FOUND
Do-more Designer 2.11,Host Engineering,2.11.002,Do-more Designer,NOT_FOUND
Epson Connect Printer Setup,Seiko Epson,1.4.11,Epson Connect Printer Setup,NOT_FOUND
EPSON ET-2800 Series Printer Uninstall,Seiko Epson,,EPSON ET-2800 Series Printer Uninstall,NOT_FOUND
Epson ET-2800 Series User’s Guide,Epson America,1.0,Epson ET-2800 Series ’s Guide,NOT_FOUND
Epson Event Manager,Seiko Epson,3.11.82,Epson Event Manager,cpe:2.3:a:epson:event_manager:*:*:*:*:*:*:*:*
EpsonNet Print,Seiko Epson,3.3.1.0,EpsonNet Print,NOT_FOUND
Epson Photo+,Seiko Epson,4.0.2.0,Epson Photo+,NOT_FOUND
Epson Printer Connection Checker,Seiko Epson,3.4.3.0,Epson Printer Connection Checker,NOT_FOUND
Epson Printer Driver Security Support Tool,Seiko Epson,1.0.1.0,Epson Printer Driver Security Support Tool,NOT_FOUND
Epson Scan 2,Seiko Epson,,Epson Scan 2,NOT_FOUND
EPSON Scan OCR Component,Seiko Epson,3.00.06,EPSON Scan OCR Component,NOT_FOUND
EPSON Scan PDF Extensions,Seiko Epson,1.03.02.02,EPSON Scan PDF Extensions,cpe:2.3:a:epson:scan_pdf_extensions:*:*:*:*:*:*:*:*
Epson ScanSmart,Seiko Epson,3.7.17,Epson ScanSmart,NOT_FOUND
Epson Software Updater,Seiko Epson,5.0.2,Epson Software Updater,NOT_FOUND
