Program,Version,Queried_CPE,Confidence,CVE,CVSS_Version,Base_Score,Base_Severity,CISA_KEV
7-Zip 25.00 (x64),25.00,cpe:2.3:a:7-zip:7-zip:25.00:*:*:*:*:*:*:*,F,CVE-2025-55188,3.1,3.6,LOW,N/A
7-Zip 25.00 (x64),25.00,cpe:2.3:a:7-zip:7-zip:25.00:*:*:*:*:*:*:*,F,CVE-2026-48092,3.1,8.1,HIGH,N/A
7-Zip 25.00 (x64),25.00,cpe:2.3:a:7-zip:7-zip:25.00:*:*:*:*:*:*:*,F,CVE-2026-48095,3.1,8.8,HIGH,N/A
7-Zip 25.00 (x64),25.00,cpe:2.3:a:7-zip:7-zip:25.00:*:*:*:*:*:*:*,F,CVE-2026-48101,3.1,6.5,MEDIUM,N/A
7-Zip 25.00 (x64),25.00,cpe:2.3:a:7-zip:7-zip:25.00:*:*:*:*:*:*:*,F,CVE-2026-48102,3.1,4.3,MEDIUM,N/A
7-Zip 25.00 (x64),25.00,cpe:2.3:a:7-zip:7-zip:25.00:*:*:*:*:*:*:*,F,CVE-2026-48103,3.1,7.1,HIGH,N/A
7-Zip 25.00 (x64),25.00,cpe:2.3:a:7-zip:7-zip:25.00:*:*:*:*:*:*:*,F,CVE-2026-48104,3.1,4.2,MEDIUM,N/A
7-Zip 25.00 (x64),25.00,cpe:2.3:a:7-zip:7-zip:25.00:*:*:*:*:*:*:*,F,CVE-2026-48111,3.1,7.1,HIGH,N/A
7-Zip 25.00 (x64),25.00,cpe:2.3:a:7-zip:7-zip:25.00:*:*:*:*:*:*:*,F,CVE-2026-48112,3.1,6.5,MEDIUM,N/A
Adobe Acrobat (64-bit),26.001.21563,cpe:2.3:a:adobe:acrobat:26.001.21563:*:*:*:*:*:*:*,F,CVE-2026-47911,3.1,7.8,HIGH,N/A
Adobe Acrobat (64-bit),26.001.21563,cpe:2.3:a:adobe:acrobat:26.001.21563:*:*:*:*:*:*:*,F,CVE-2026-47912,3.1,7.8,HIGH,N/A
Adobe Acrobat (64-bit),26.001.21563,cpe:2.3:a:adobe:acrobat:26.001.21563:*:*:*:*:*:*:*,F,CVE-2026-47913,3.1,7.8,HIGH,N/A
Adobe Acrobat (64-bit),26.001.21563,cpe:2.3:a:adobe:acrobat:26.001.21563:*:*:*:*:*:*:*,F,CVE-2026-47914,3.1,7.8,HIGH,N/A
Adobe Acrobat (64-bit),26.001.21563,cpe:2.3:a:adobe:acrobat:26.001.21563:*:*:*:*:*:*:*,F,CVE-2026-47959,3.1,7.8,HIGH,N/A
Adobe Acrobat (64-bit),26.001.21563,cpe:2.3:a:adobe:acrobat:26.001.21563:*:*:*:*:*:*:*,F,CVE-2026-47961,3.1,5.5,MEDIUM,N/A
AMD Software,23.19.23.03,cpe:2.3:a:amd:radeon_software:23.19.23.03:*:*:*:*:*:*:*,O,CVE-2024-21937,3.1,7.8,HIGH,N/A
AXIS Device Manager 5.30,5.30.125,cpe:2.3:a:axis:device_manager:5.30.125:*:*:*:*:*:*:*,F,CVE-2025-30023,3.1,9.0,CRITICAL,N/A
